Employer,Title,Salary,Location,Start Date
STRATEGIC STAFFING SOLUTIONS LC,SENIOR DATA SCIENCE CONSULTANT,"176,800","CHARLOTTE, NC",7/2/2018
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"176,488","SUNNYVALE, CA",2/2/2018
PHARMACEUTICAL RESEARCH ASSOCIATES INC,DATA SCIENTIST 3,"176,250","BLUE BELL, PA",11/6/2017
YOH SERVICES LLC,SENIOR DATA SCIENCE CONSULTANT,"176,000","CHARLOTTE, NC",2/1/2017
AIRBNB INC,DATA SCIENTIST,"175,723","SAN FRANCISCO, CA",8/1/2018
JDCOM AMERICAN TECHNOLOGIES CORPORATION,DATA SCIENTIST,"175,380","SANTA CLARA, CA",10/16/2017
LAWRENCE LIVERMORE NATIONAL SECURITY LLC,MACHINE LEARNING SPECIALIST (COMPUTER RESEARCH SCIENTIST),"175,200","LIVERMORE, CA",6/15/2016
ZS ASSOCIATES INC,DATA SCIENCE MANAGER,"175,000","THOUSAND OAKS, CA",8/6/2017
FACEBOOK INC,DATA SCIENTIST,"175,000","MENLO PARK, CA",6/18/2018
FACEBOOK INC,DATA SCIENTIST,"175,000","MENLO PARK, CA",6/4/2018
FACEBOOK INC,DATA SCIENTIST,"175,000","SEATTLE, WA",4/9/2018
FACEBOOK INC,DATA SCIENTIST,"175,000","MENLO PARK, CA",6/18/2018
TWO SIGMA INVESTMENTS LP,DATA SCIENTIST,"175,000","NEW YORK, NY",6/4/2018
ARIMO LLC,DATA SCIENTIST,"175,000","MOUNTAIN VIEW, CA",10/23/2017
FACEBOOK INC,DATA SCIENTIST,"175,000","MENLO PARK, CA",8/20/2018
AIRBNB INC,DATA SCIENTIST,"175,000","SAN FRANCISCO, CA",8/6/2018
FACEBOOK INC,DATA SCIENTIST,"175,000","MENLO PARK, CA",9/17/2018
AIRBNB INC,DATA SCIENTIST,"175,000","SAN FRANCISCO, CA",1/8/2018
LYFT INC,DATA SCIENTIST,"175,000","SAN FRANCISCO, CA",4/9/2018
WHATSAPP INC,DATA SCIENTIST,"175,000","MENLO PARK, CA",8/27/2018
FACEBOOK INC,DATA SCIENTIST,"175,000","MENLO PARK, CA",8/13/2018
CB INFORMATION SERVICES INC,DATA SCIENTIST,"175,000","NEW YORK, NY",8/20/2018
CITADEL LLC,DATA SCIENTIST,"175,000","CHICAGO, IL",12/19/2016
FACEBOOK INC,DATA SCIENTIST,"175,000","SEATTLE, WA",3/13/2017
IMC AMERICAS INC,DATA SCIENTIST,"175,000","CHICAGO, IL",3/20/2017
FACEBOOK INC,DATA SCIENTIST,"175,000","MENLO PARK, CA",5/1/2017
LIVEINTENT INC,DATA SCIENTIST,"175,000","NEW YORK, NY",3/21/2016
BED BATH AND BEYOND INC,DATA SCIENTIST,"175,000","UNION, NJ",10/20/2014
PEEL TECHNOLOGIES INC,DATA SCIENTIST,"175,000","MOUNTAIN VIEW, CA",8/25/2015
INTUIT INC,DATA SCIENTIST,"175,000","MOUNTAIN VIEW, CA",9/29/2014
GOOGLE LLC,DATA SCIENTIST (1615.39127),"175,000","SAN BRUNO, CA",6/11/2018
PAYPAL INC,DATA SCIENTIST 3,"175,000","SAN JOSE, CA",4/26/2016
PAYPAL INC,DATA SCIENTIST 3,"175,000","SAN JOSE, CA",5/11/2016
APPLE INC,DATA SCIENTIST 4,"175,000","CUPERTINO, CA",10/31/2016
APPLE INC,"DATA SCIENTIST, OS POWER AND PERFORMANCE","175,000","CUPERTINO, CA",4/16/2018
MEDIAMATH INC,SENIOR DATA SCIENTIST,"175,000","NEW YORK, NY",9/5/2018
QUARTET HEALTH INC,SENIOR DATA SCIENTIST,"175,000","NEW YORK, NY",7/17/2018
APPNEXUS INC,SENIOR DATA SCIENTIST,"175,000","NEW YORK, NY",5/21/2018
SYNTASA CORPORATION,SENIOR DATA SCIENTIST,"175,000","HERNDON, VA",8/7/2018
NOODLE ANALYTICS INC,SENIOR DATA SCIENTIST,"175,000","PALO ALTO, CA",8/30/2018
DATAMINR INC,SENIOR DATA SCIENTIST,"175,000","NEW YORK, NY",3/9/2018
RETAIL EQUATION INC,SENIOR DATA SCIENTIST,"175,000","IRVINE, CA",8/12/2015
E8 SECURITY INC,SENIOR DATA SCIENTIST,"175,000","REDWOOD CITY, CA",5/1/2015
GENERAL ELECTRIC COMPANY - GE GLOBAL RESEARCH CENT,SENIOR DATA SCIENTIST,"175,000","SAN RAMON, CA",8/18/2014
MOVE INC,SR DATA SCIENTIST,"175,000","SANTA CLARA, CA",3/5/2018
ALIVECOR INC,SR. DATA SCIENTIST,"175,000","MOUNTAIN VIEW, CA",4/24/2018
ALIVECOR INC,SR. DATA SCIENTIST,"175,000","MOUNTAIN VIEW, CA",8/30/2016
CHEGG INC,LEAD DATA SCIENCE ENGINEER,"175,000","SANTA CLARA, CA",2/16/2015
THE BOSTON CONSULTING GROUP INC,LEAD DATA SCIENTIST,"175,000","BOSTON, MA",6/25/2018
CLARIVATE ANALYTICS (US) LLC,PRINCIPAL DATA SCIENTIST,"175,000","SAN FRANCISCO, CA",9/1/2017
WAJAO INC,MACHINE LEARNING DATA SCIENTIST,"175,000","SANTA MONICA, CA",5/7/2018
DROPBOX INC,MACHINE LEARNING ENGINEER,"175,000","SAN FRANCISCO, CA",9/20/2018
SAFEGRAPH INC,MACHINE LEARNING ENGINEER,"175,000","SAN FRANCISCO, CA",11/13/2017
HYPER LABS INC,MACHINE LEARNING ENGINEER,"175,000","NEW YORK, NY",10/1/2017
SKYTREE INC,MACHINE LEARNING R&D DEVELOPER,"175,000","SAN JOSE, CA",9/17/2014
SAMSUNG RESEARCH AMERICA INC,"MACHINE LEARNING RESEARCH ENGINEER, STAFF","175,000","MOUNTAIN VIEW, CA",5/7/2018
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"174,900","REDMOND, WA",5/27/2015
AYASDI INC,SENIOR DATA SCIENTIST,"174,450","NEW YORK, NY",3/1/2018
INDEED INC,DATA SCIENTIST,"174,117","SAN FRANCISCO, CA",8/20/2018
EBAY INC,DATA SCIENTIST 2,"174,000","SAN JOSE, CA",5/21/2018
BRISTOL-MYERS SQUIBB COMPANY,LEAD DATA SCIENCES & CLINICAL PHARMACOLOGY ANALYSIS & REPORT,"173,736","PENNINGTON, NJ",8/3/2017
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"173,716","SUNNYVALE, CA",10/8/2017
APPLE INC,DATA SCIENTIST,"173,000","CUPERTINO, CA",8/22/2014
APPLE INC,DATA SCIENTIST,"172,515","CUPERTINO, CA",10/16/2017
NETFLIX INC,SENIOR DATA SCIENTIST,"172,515","LOS GATOS, CA",4/25/2018
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"172,515","SUNNYVALE, CA",5/28/2018
TARGET ENTERPRISE INC,LEAD DATA SCIENTIST,"172,515","SUNNYVALE, CA",7/28/2018
HEWLETT PACKARD ENTERPRISE COMPANY,PRINCIPAL DATA SCIENTIST,"172,515","PALO ALTO, CA",4/27/2018
SALESFORCECOM INC,PRINCIPAL DATA SCIENTIST,"172,515","MOUNTAIN VIEW, CA",7/9/2018
APPLE INC,MACHINE LEARNING ENGINEER,"172,515","CUPERTINO, CA",7/16/2018
APPLE INC,MACHINE LEARNING ENGINEER,"172,515","CUPERTINO, CA",6/11/2018
AGCO CORPORATION,LEAD DATA SCIENTIST ARCHITECT,"172,500","DULUTH, GA",3/10/2018
ORACLE AMERICA INC,DATA SCIENTIST DIRECTOR,"172,348","AUSTIN, TX",4/29/2018
CREDIT KARMA INC,DATA SCIENTIST,"172,000","SAN FRANCISCO, CA",10/2/2018
TWITTER INC,DATA SCIENTIST,"172,000","SAN FRANCISCO, CA",7/29/2017
FACEBOOK INC,DATA SCIENTIST,"171,921","SEATTLE, WA",9/25/2017
FACEBOOK INC,DATA SCIENCE MANAGER,"171,025","MENLO PARK, CA",5/14/2018
STITCH FIX INC,DATA SCIENTIST,"171,000","SAN FRANCISCO, CA",7/23/2018
FACEBOOK INC,DATA SCIENCE MANAGER,"170,328","MENLO PARK, CA",9/24/2018
FACEBOOK INC,DATA SCIENTIST,"170,328","MENLO PARK, CA",3/26/2018
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"170,216","REDMOND, WA",1/12/2019
TAPJOY INC,PRINCIPAL DATA SCIENCE ENGINEER,"170,125","SAN FRANCISCO, CA",8/28/2018
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"170,100","REDMOND, WA",1/15/2019
